mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.227666934331258,0.09033766523027147,0.05733052889506022,0.010621570205260281,200,10,1,log2,20,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20}",-1.7330126578514469,-1.2605724410188741,-1.4842266590945372,-1.4926039193216194,0.1929638541055229,11
1.285331090291341,0.059028766935939406,0.05200489362080892,0.014717806225596385,200,10,1,sqrt,10,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10}",-1.7401426199573955,-1.2668568699168308,-1.4731533597281068,-1.4933842832007775,0.19374694491575478,12
1.8779996236165364,0.08899675514426557,0.08433206876118977,0.008055891694736788,300,10,2,log2,,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None}",-1.7471724897518923,-1.2735754990220278,-1.5462645944561257,-1.5223375277433486,0.19408401239017448,13
5.738659699757894,0.10235528956796189,0.2043422063191732,0.055960590818455586,500,10,2,log2,30,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 30}",-1.7661347116229043,-1.2797452457989598,-1.5282365091112085,-1.5247054888443572,0.1985833648525126,14
1.3153422673543294,0.29552818601608105,0.061994314193725586,0.027082507489543915,100,5,4,,,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': None}",-2.0438126849978397,-1.3793204990110817,-1.2086452440751436,-1.5439261426946882,0.3602752901543597,15
1.1499959627787273,0.08163810754420803,0.053335348765055336,0.013767597144531556,100,10,4,log2,,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': None}",-1.78324802216084,-1.3097786876661603,-1.6205875988836187,-1.5712047695702065,0.19642182592566257,16
0.5576662222544352,0.09286934609333931,0.018999020258585613,0.0014133243334718654,100,5,4,log2,30,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 30}",-1.85086013787717,-1.2819700642112593,-1.5825777868953739,-1.5718026629946011,0.23237334392482728,17
3.288996696472168,0.10249049870888248,0.12233424186706543,0.01357329365770683,300,5,4,sqrt,10,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10}",-1.8542898930649045,-1.298153612416455,-1.5852241468615829,-1.5792225507809807,0.22708134376622077,18
1.7373315493265789,0.04339067448164126,0.0883332888285319,0.01960245459077089,300,10,4,log2,10,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 10}",-1.8505742330505994,-1.3088269605814142,-1.6054892281790378,-1.5882968072703505,0.2215012585509414,19
1.2596652507781982,0.07027821347902392,0.06533304850260417,0.01956820941025385,200,5,4,log2,20,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 20}",-1.8803957272745018,-1.3024397992395687,-1.5841553281831535,-1.5889969515657414,0.23597435549287174,20
